pr	categories	capabilities	assessment
155	P,R,D	C01,C05,C06,C12	文件预览、Weber/Skills 合并、附件生命周期与通道增删的混合 PR；复用 skills 和合同，按模块迁移。
156	H	C24	4.11 发布包装；功能归 #155。
157	D,T	C13	时间戳/耗时属于通用会话展示；DSH 可优先替代，保留时间语义验收。
158	H	C24	4.11.1 发布包装；不单独迁移。
159	P,R	C08	终端 Pi 会话复制到 Pilot 私有 session 后续接；不是接管同一 PTY，也不能直接当 DSH 原生恢复。
163	R,C,T,D	C09,C10	配置根收敛保留；自动停止 Pilot 的安装分支已被 #199/#226 撤销，不恢复旧行为。
164	R,T	C09	Claude UI-state allowlist 是多 CLI launcher 隔离能力，留 MMS。
167	P,T,H	C07,C12	plain HTTP UUID/clipboard 与触摸菜单已由 #181 吸收；关闭不等于功能丢失，保留移动端验收。
168	P,R,T	C02	用户 context policy 优先于旧 K3 guard；当前统一真值以 #233 为准，旧 guard 不重复搬。
169	P,T	C07	Host/Origin 一致性是远程访问合同，必须进入 DSH remote 扩展验收。
173	C,H	C08,C24	4.12 发布含 CLI 会话设置文案；以 #149/#159 实际采用语义为准。
174	P,D	C12	可拖高/自增长 composer 和两栏布局是可选 UX；先用 DSH 原生交互，不预先重写整页。
175	P,R,T	C01	models_endpoint 缺省与显式 manual 的区分需要保留；避免插件错误启用敏感通道探测。
176	H	C24	4.12.1 发布包装；不单独迁移。
179	P,D	C12	composer 滚动折叠可选 UI 定制；无 core fork 证据。
180	P,D	C12,C15	Enter 偏好和设置简化是用户偏好；优先采用 DSH 设置能力，仅补差异。
181	P,C,T	C07	LAN 开关、QR、token、接口地址及 #167 手机修复值得保留；DSH 默认 Web 不是直接 LAN 等价物。
182	P	C14	目录名称/条目指纹找路径是特定浏览器受限场景能力；可做 workspace 工具/UI 插件。
183	R,C,D	C09,C10	单根/入口清理保留；旧安装停服路径已被 #199/#226 撤销，不能按本 PR 原样复制。
184	H	C24	4.13 发布包装；不单独迁移。
185	P,R,T	C02	effort/vision/token 上限校准方法和证据值得保留；2026-09-10 数字不是永久配置。
186	P,T	C07	对外监听不可关闭 token 门禁，作为 remote 插件硬验收项保留。
187	H	C24	4.13.1 发布包装；能力归 #186。
189	C,R,T	C10,C08	服务 status/url/start/stop/restart 属于发行管理；当前无 supervisor，不能声称开机自动恢复执行。
190	H	C24	4.14 发布包装；功能归 #189。
192	C,D	C10	裸 web 命令只打印帮助是 MMS CLI UX；自有 launcher 保留，DSH 侧按新入口设计。
194	P,R,T	C02	Kimi context 校准后续收敛至 #233；迁移统一 resolver，不复制多处历史常量。
195	C,T,D	C11	整安装更新/候选预检/回滚/确认值得保留；实现留发行层，不能仅更新网页 bundle。
196	T,H	C02,C23	修复 #185 遗漏断言；保留能力变化必须覆盖真实消费者的验收要求。
197	H	C24	4.15 发布包装；包含升级须知格式，不是新执行能力。
198	C,T	C11	禁止把 staging source 当正式安装位置；定制发行层必须保留该边界。
199	P,R,C,T,D	C02,C03,C08,C09,C10	能力/session/安装安全修复混合；保留附件和隔离，废弃 token-saver 与被撤回的自动停服路径。
200	R,C,T,D	C09,C10	Pi 可用性必须与实际启动路径一致；保留 launcher，若完全退出 Pi 才退役缓存探测代码。
201	H	C24	4.15.1 发布包装；功能归 #198/#200。
202	R,C,T,D	C09,C10	npm 默认缓存的 Pi 发现修复；Pi 仍保留时不可删除，DSH 不需要照搬它。
203	H,D	C11	用户撤回的 v4.4 固定版本方案；不恢复这个历史 pin，仍需明确发行渠道。
204	P,R,C,T	C01,C02,C09,C10	模型拉取替换、运行根、Pi 安装 fail-closed 等真实混合改动；遗漏回归已由后续 PR 修正。
205	R,C,T,D	C09,C10	全局 Pi bin 不在 PATH 的发现/预热修复；只在 Pi 被正式退役后可删除相关实现。
206	H	C24	4.15.2 发布包装；功能归 #205。
208	R,T,D	C09	旧配置 Web Ctrl-C 清理修复；现存维护入口保留，DSH 不需要同份实现。
209	P,R,T,H	C02,C23	K3 多处真值与测试收敛；以 #233 单 resolver 取代旧常量补丁。
210	T	C23	base/head pytest 门禁值得保留，但其结果分类后来由 #326/#335 加固，不能迁移早期假绿逻辑。
211	P,R,T	C01,C23	拉取成功覆盖 channel 模型、删除项不得被新会话使用；重要行为测试应迁入 registry 插件。
212	R,D	C09	配置 Web 已降为维护入口，仍有账号/偏好/迁移用途；不能因 Pilot/DSH 有设置页就全部删除。
213	R,P,T	C02,C09	Codex context 配置注入留 MMS；代码写入已验证不等于 Codex 实际 compact 行为已验证。
214	H	C24	4.16 发布包装；按原功能归类。
215	R,C,T	C09,C10	旧配置根清理和 resolver precedence 保留；不重新启用 legacy root 默认写入。
216	P,R,C	C02,C06,C09,C15	vision MCP relay 可继续复用；What's New 属于发行 UX，后续展示策略已变。
217	H	C24	4.17 发布包装；功能归 #215/#216。
218	C,T,D	C15	新安装与升级用户区分是发行验收；自动弹出策略后由 #243 调整，不照搬旧页面逻辑。
219	H	C24	4.17.1 发布包装；不单独迁移。
220	H	C24	4.18 发布包装；功能归 #182。
221	P,D,T	C13	BTW、steer/interrupt/queue 的用户语义保留；DSH 原生控制可替代通用部分，旁问隔离和撤回需补测。
225	H	C24	4.19 发布包装；功能归 #221。
226	R,C,D,T	C10	删除无效 stop-and-reopen 安装分支；更新不得无声杀会话的规则保留。
227	P,R,T	C01,C02,C09	vision 名称兜底、bridge lb_debug、通道陈旧标签及 guardrails 修复；不属于可被 DSH Web 直接覆盖的 launcher 代码。
228	R,T	C09,C23	测试合同收敛同时含 real-home 产品修复；保留隔离和路径合同，不只是测试数量变化。
229	R,C,H	C09,C24	发布同时补 gateway HOME 的 real-home marker，不能仅按 release 标题当作无代码。
231	C,R,T,D	C09,C10,C22	Windows Native Preview 跨平台/安装/锁/路径边界保留；Python/Pi 专用 shim 仅在不再使用时退役。
232	C,R,T	C09,C11	跨配置根升级只读引导、阻止不安全一键迁移；发行层能力，不需要 core fork。
233	P,R,T	C02	跨 harness context-window 单真值及输入别名归一化是重要资产；DSH adapter 消费解析结果。
234	R,C,T	C09,C10	公开 mms 与维护者本机别名分离；留自有安装器，避免覆盖人的工作入口。
235	H	C24	4.19.4 发布包装；功能归 #233。
236	P,R,T,D	C01,C12	approved bundle 直接启动、空选择提示、保存栏/确认 UX；保留 runtime 合同，页面按需复用。
237	C,H,T	C22,C24	Windows Preview 发布合同保留；Windows Server 通过不代表所有桌面环境已验收。
239	P,D,H	C16,C12	Bot 视觉子 PR 随 #242 集成；可选 UI 插件，不需要复制所有 CSS。
240	P,T	C20	仅执行开始前做基础设施重试、通知日志/HMAC webhook；可做 host 插件，保留防重复副作用边界。
241	P,D,T	C17	Bot 模型生成计划、依赖执行、批准/撤回；复用 DSH 子代理底层，只补用户需要的计划状态层。
242	P,D,T	C16,C17,C19,C20	持久 Bot/Task/Memory/Mailbox/Coordinator 复合能力；曾被 #262 从稳定线撤销，现 dev 恢复，不能因 Git 祖先关系说 main 有 Bot。
243	P,C,D	C12,C15	运行环境 tab、帮助内版本历史、成果复制；事实数据保留，旧 UI 结构按 DSH 插槽重组。
244	R,C,T,D	C09,C22	Windows Pi cmd/exe、tzdata、跨平台锁修复；保留当前 MMS，DSH 迁移只带验收场景。
245	H,D	C22,C24	因错误 release 基线会夹带 Bot 而关闭；Windows-only 发布另行完成，不重新合入旧集成分支。
246	C,R,T,D	C10,C22	CIM UTF-8/Base64 编码修复针对 Python 服务发现；保留 Windows 中文路径验收。
247	D,H	C22	无证据的延长握手超时候选被撤回；实际 pipe 问题由 #248 修复，不把 90 秒等待作为资产。
248	R,C,T,D	C09,C22	Windows launcher 保持 RPC pipes；Pi 继续使用时保留，DSH 原生进程不搬此补丁。
249	R,C,H	C09,C22	Windows shell 修复走独立 4.21 维护线发布，PR 因基线混 Bot 关闭；不是功能被放弃。
250	D,T	C14,C22	原生 Windows 文件夹对话框后来被 #307 应用内树替代；旧 WinForms picker 可退役。
251	D,T	C14,C22	原生 picker 显示/超时补丁被 #307 替代；保留不可阻塞远程用户的要求。
252	H	C24	4.21.7 bundle 发布包装；不能当新文件夹能力。
253	H,D	C21	当时违背稳定线/Bot 边界的集成候选已作废；不恢复历史分支方案。
254	P,R,T	C16,C17,C21	Bot owner 隔离、direct-first 与视觉调整；业务合同保留，Windows 修复按共享能力去重。
255	H,D	C21	旧 Bot 回退候选因基线冲突被 #262 重做；无需再次合并。
256	C,R,H	C10,C22	同步 Windows 4.21.14 并修复 preview 启动；是整合和 installer 真实变更，按两部分处理。
257	C,T	C10	Preview 安装后正确询问/启动 Pilot；移到自有发行脚本。
258	P,R,D	C06,C13	Pi BTW 扩展继续供 Pi launcher 使用；DSH 若有等价旁问不搬 Pi 注入层，只迁隔离语义。
259	P,D,T	C13	Pi BTW_EVENT 映射可随 Pi Web driver 退役；脱敏/取消/主队列隔离必须保留。
260	C,D	C10	安装提示清理；新发行包不用复制历史文案分支。
261	H,D	C24	旧 Preview 发布准备因冲突被 #263 替代，无独立能力。
262	H,T	C16,C21	明确撤销 Bot 到稳定线的落入；是历史产品边界，不能用 ancestor 判定功能仍在。
263	H	C24	5.0 Preview 版本与 bundle 准备；按 Bot 功能 PR 去重。
264	H	C24	4.22 BTW 发布包装；其版本不一致问题由 #266 修复。
265	P,D,T	C16,C17	真实等待提问卡、计划状态和最多三问 Bot 引导保留；可用 DSH UI 插件补业务层。
266	C,T	C11,C23	runtime/package/static 版本一致性门禁重要；不迁移旧 tag，只迁发行验证。
267	H	C21,C24	稳定修复进 5.0 Preview 的整合记录；按底层能力去重。
269	P,D	C12,C16	实际含滚动条、停止/重试、Bot 弹窗改进；虽标题 release，不能忽略其 UI 改动。
270	P,C,T,D	C10,C16	compact 单位修复是 Pi 适配细节；端口保持是服务合同，Bot 短会话 no-op 行为继续验证。
271	C,H	C10,C21	installer 修复进入稳定线；与 #260 同源能力，不重复迁移。
272	H	C21,C24	main 变 4.22 stable 的整合节点；不等于所有祖先功能都留在 main。
273	C,H	C10,C21	稳定线 installer 修复转入 5.x；重复整合，非第二份功能。
274	H	C16,C21,C24	dev 变 5.x，Bot 恢复到 dev；是分支边界变化，不是废弃整个 4.x。
275	H,T	C17,C18,C21	工作包与边界文档，保留需求/验收知识，不作为已实现新功能。
276	H,T	C12,C13	连接横幅/BTW 折叠工作包；实现分别见 #282/#281。
277	P,C,H	C15	运行环境设置回流 stable；与 #243 去重，保留真实能力和版本数据。
278	P,T	C18,C16	实际已整合 #302/#306，不是只剩后端；独立日程实体/时区/暂停恢复超出 DSH 会话提醒默认语义。
279	R,C,T	C08,C21	跨线 owner 过滤与门禁；DSH 不懂 MMS 的 Bot owner，迁移/兼容必须显式处理。
280	H,T	C01,C07	blocked reasons 和当前窗口认证工作包；实现见 #285/#283。
281	P,D,T	C13	旁问折叠/已处置状态是可选 UI 偏好；保留运行中不能伪装已处置的语义。
282	D,T	C12	连接与操作错误分流值得保留；DSH 若已满足无需迁移这份三次轮询计数器。
283	P,T	C07	开 LAN/换 token 必须让当前授权窗口持续可用；remote 插件需覆盖 cookie 交接。
284	H,T	C13	steer 空白回合问题的工作包；不作为额外功能统计。
285	P,R,T	C01	真实 blocked reasons 映射是模型配置控制面的一部分；插件不得把权限问题伪装成选模错误。
286	D,T	C08,C13	回合中断/空结果/重发语义保留；DSH 原生 transcript 可替代，需在真实中断场景验证。
288	P,D	C12,C16	用户明确要的通道表达、设置保存与 Bot 入口；可迁 UI 差异，不能因 #290 关闭连带丢掉。
289	D,T	C12,C14	文件夹弹窗焦点修复是通用 UX 验收，旧定时 focus 补丁不必复制。
290	P,H,D	C03,C12	旧工作身份形态按用户反馈关闭；模型/通道/effort 组合可在确认仍需时做 preset，不擅自恢复 persona。
291	H,T	C13	排队撤回问题工作包；实际修复见 #294。
292	R,T	C09	Grok TUI 隔离启动/协议兼容留 MMS；DSH 的 Web 不替代多 CLI launcher。
293	H,T	C18	日程验收追加与 mutation 要求；不是独立实现。
294	D,T	C13	必须以 runtime 确认判断撤回是否成功；可由 DSH 原生队列替代，但要求不能丢。
295	P,T	C19,C16,C17	已恢复并 MERGED；保留用户要的 Fleet。关键修复在直接提交 5707bb07/789d45ba，最终 merge diff 不是全功能清单。
296	H	C24	4.22.2 共享修复发布；按原 PR 去重。
297	H,C	C21,C24	两条发布线文档；新方案需重写发行约定，不能把历史分支文字当功能。
298	H	C24	5.0.2 发布；功能归 #288/#292。
299	C,T	C11,C21	更新通道选择保留；从 5.x 降到 4.x 并未实现一键降级，后续 #327 澄清。
300	H,C	C21	渠道文档曾过度承诺可逆；以 #313/#327 后续真实边界为准。
301	H	C24	4.22.3 发布组合；不是四项功能的第二次实现。
302	P,T,H	C18	日程 UI 随 #278 整合；一套能力，保留时区/错过/暂停/完成等不同状态。
303	P,D,T	C12	未读完成与已读待命；保留语义和首次无历史回执边界，DSH 实际体验通过后可退役旧状态层。
304	P,D,T	C12	独立 effort 快捷入口是用户交互偏好；DSH 已有 effort，可替换 model slot 补差异，无 core fork 证据。
306	P,T	C16,C12	Bot 模型下一轮生效，歧义不得猜选；用 DSH session 选择能力实现业务状态，不能只改 UI 标签。
307	P,D,T	C14	应用内目录树解决远程/native picker 错位；DSH 有 workspace 基础，需核对浏览主机目录的具体 UX。
308	H,R	C09,C08	Grok ACP 实验 CLOSED，遵守用户不合入的决定；只保留 adapter/能力协商经验，不把实验当现有能力。
309	T,H	C23	测试基线诊断资产保留；旧失败数量不是当前健康结论。
310	P,T	C16,C17	计划步骤指定模型必须真正执行于一次性会话且不污染主 Bot；DSH agentOptions 可承载，但生命周期要补验收。
311	P,D	C12,C13	专注阅读是轻量 UI 插件候选；先检查 DSH 现成阅读方式，不迁整份 transcript。
312	T,P,R,H	C01,C02,C23	较弱 registry 修复被 #313/#315 取代；环境清理有效断言已吸收，不能因 CLOSED 算丢失。
313	P,R,C,T	C01,C11,C14,C22,C23	release 内含目录树、registry provenance、protocol、原子写/回滚等真修复；逐能力保留，不按发布包装丢弃。
314	P,D	C12,C16	Bot 当前/下一轮模型展示和快捷设置入口；保留清晰状态，可按 DSH 插槽重做。
315	P,C,R,T	C08,C11,C16,C18,C21,C23	大整合且修复 worker response、日程原子性、临时会话回收等；不能视为简单同步 main。
316	C,H,D	C11,C21	有效通道 UI 已由 #315 吸收；标题声称切回 4.x 不等于真正自动降级，不再合旧候选。
317	P,C	C07	远程访问开关与公网域名关系保留；任务引导不等于自动部署隧道。
318	C,T,H	C22,C11	Windows atomic replace 修复已进入 #313/#315；关闭是吸收，不是放弃数据可靠性。
319	C,T,H	C11	安装版本记录由 #313/#315 更完整方案替代；保留真实 tag/channel、旧 guardian 首跳与回滚边界。
320	P,D	C12	双击重命名已 MERGED；是可选 UI 入口，CLI 会话不可改名的所有权边界保留。
321	C,T,H	C07,C10	reverse DNS 阻塞修复已被整合，后由 #325 扫全；不重复移植第二套 listener 类。
322	P,C,D	C11,C15	侧栏版本直达更新是可选发行 UX，可用品牌/设置插件实现。
323	D,T	C12	Dialog 展示后聚焦并返回入口；后续 #295/#331 加固，迁移交互验收而非复制 timer 补丁。
324	P,R,T,D	C01,C12	只读慢探测不得持全局写锁；MMS registry 留用时保留修复，DSH 重写时带并发验收。
325	R,C,T,D	C09,C14	配置 Web DNS 与虚假权限检查修复；保留实际可访问性检查，旧 server 实现不搬 DSH。
326	T	C23	真实执行前端测试、区分删除/修复的门禁是重要资产；按 DSH plugin 测试入口改写。
327	C,T	C11,C21	如实解释跨线降级需 installer；留发行策略，不能把选择 channel 当完成迁移。
328	P,C,D,T	C11,C12	更新确认独立步骤和按钮可见性保留；发行 UI 插件足够，无 core fork 证据。
329	P,D,T	C07,C12	手机 popover/软键盘可见性是必要验收；目标 DSH 页面需实测，不能因有 Web 就视为已满足。
330	P,C	C25	OPEN：低打扰自愿反馈可做 UI/偏好插件；不是迁移前置，不计已交付功能，不自动提交表单。
331	P,D,T	C12,C16,C18,C19	模型/effort 异步成功才关闭、草稿/focus、Fleet/日程交互保留为验收；DSH UI 按差异补齐。
332	D,T	C12,C14	#331 共享焦点和保存反馈回流 stable；一套要求，不算另一套迁移功能。
333	P,T	C14,C23	真执行目录树测试且修复分层截断/390px 路径；行为测试保留，旧实现测试重写。
334	T	C12,C13,C23	重命名/等待/确认/Popover 的实际接线测试保留为场景，不只迁纯函数断言。
335	R,C,P,T	C09,C14,C23	共享门禁和文件夹真实调用链收尾；不是仅版本发布，保留删除/skip/xfail 不算修复的规则。
336	P,T	C12,C14,C16,C23	整组件实际事件接线与双线门禁收尾；保留验收知识，目标 plugin 新写调用链测试。
337	H,C	C24	OPEN 文档整理；可继续作为项目知识，不是 DSH 已实现或待迁移功能。
338	P,C,T	C07,C11	LAN 开启时 guardian 认证与 proxy/redirect 边界；保留真实更新事务安全规则，属于发行集成。
339	P,C,T,H	C07,C11	#338 同类修复进入 dev；同一合同两线落地，不重复计算价值。
340	D,T	C12	OPEN 小样式候选；对现有 Pilot 可评估合入，DSH 新布局无需照搬该 CSS。
341	P,T	C08	OPEN 失败会话恢复候选；脱敏可审阅草稿/显式发送值得迁移，不计快照已合并能力。
342	P,T,H	C08	OPEN #341 Stable 回补候选；同一恢复能力，不能因两个 PR 算两项。
